Date,High Temp,Low Temp,Summary
N/A,N/A,N/A,Sunny and a gentle breeze
Tuesday15thJuly,N/A,N/A,Sunny and a gentle breeze
Wednesday16thJuly,N/A,N/A,Sunny and a gentle breeze
Thursday17thJuly,N/A,N/A,Sunny and a gentle breeze
Friday18thJuly,N/A,N/A,Sunny and a gentle breeze
Saturday19thJuly,N/A,N/A,Sunny and a gentle breeze
Sunday20thJuly,N/A,N/A,Sunny and a gentle breeze
Monday21stJuly,N/A,N/A,Sunny and a gentle breeze
Tuesday22ndJuly,N/A,N/A,Sunny and a gentle breeze
Wednesday23rdJuly,N/A,N/A,Sunny and a gentle breeze
Thursday24thJuly,N/A,N/A,Sunny and a gentle breeze
Friday25thJuly,N/A,N/A,Sunny and a gentle breeze
Saturday26thJuly,N/A,N/A,Sunny and a gentle breeze
Sunday27thJuly,N/A,N/A,Sunny and a gentle breeze
